engen_gas,engen_elec,engen_mintemp
nan,240.0,8.0
1480.0,310.0,7.0
320.0,240.0,8.0
110.0,230.0,6.0
nan,310.0,8.0
1100.0,550.0,6.0
550.0,nan,6.0
nan,nan,9.0
nan,580.0,12.0
nan,580.0,7.0
nan,940.0,11.0
2150.0,1180.0,12.0
nan,1370.0,12.0
nan,690.0,11.0
370.0,460.0,11.0
3710.0,480.0,11.0
3960.0,880.0,12.0
2530.0,280.0,7.0
670.0,400.0,5.0
8350.0,nan,10.0
4740.0,250.0,8.0
1010.0,410.0,9.0
1380.0,560.0,7.0
2740.0,300.0,4.0
2220.0,420.0,9.0
5290.0,390.0,8.0
7820.0,410.0,10.0
9780.0,140.0,9.0
4710.0,380.0,11.0
6220.0,580.0,8.0
6830.0,390.0,11.0
2930.0,280.0,11.0
7430.0,510.0,12.0
8260.0,600.0,9.0
1740.0,390.0,12.0
1790.0,240.0,9.0
1940.0,390.0,9.0
4770.0,490.0,10.0
1420.0,760.0,9.0
3080.0,640.0,9.0
1920.0,390.0,6.0
3350.0,550.0,9.0
1300.0,520.0,9.0
1240.0,570.0,9.0
860.0,680.0,4.0
780.0,380.0,8.0
1910.0,730.0,6.0
1040.0,530.0,1.0
950.0,540.0,8.0
7080.0,500.0,11.0
4110.0,630.0,4.0
2210.0,390.0,5.0
6000.0,310.0,6.0
11410.0,440.0,2.0
3920.0,710.0,-1.0
7500.0,340.0,6.0
7400.0,440.0,2.0
2790.0,430.0,7.0
14590.0,300.0,4.0
6700.0,430.0,2.0
7580.0,400.0,1.0
7320.0,500.0,-2.0
8900.0,470.0,6.0
12560.0,490.0,3.0
5330.0,370.0,5.0
13710.0,210.0,3.0
7640.0,150.0,3.0
10010.0,200.0,0.0
4580.0,240.0,3.0
9050.0,220.0,6.0
3780.0,110.0,8.0
13100.0,200.0,2.0
2780.0,110.0,-1.0
nan,260.0,-1.0
1510.0,210.0,1.0
4310.0,200.0,3.0
3690.0,200.0,-1.0
1860.0,210.0,-1.0
4320.0,180.0,-2.0
2630.0,250.0,-1.0
2930.0,400.0,4.0
3690.0,360.0,3.0
520.0,340.0,4.0
670.0,220.0,6.0
1190.0,410.0,7.0
450.0,250.0,6.0
800.0,350.0,-2.0
1260.0,340.0,-3.0
1020.0,760.0,-6.0
360.0,220.0,-4.0
1560.0,470.0,-3.0
1760.0,480.0,2.0
2270.0,420.0,0.0
510.0,510.0,-2.0
2760.0,420.0,-2.0
2550.0,310.0,-1.0
2580.0,420.0,1.0
1920.0,710.0,6.0
3990.0,530.0,9.0
4130.0,430.0,4.0
3280.0,490.0,2.0
3710.0,350.0,8.0
2270.0,500.0,11.0
4160.0,890.0,6.0
5150.0,550.0,1.0
210.0,610.0,-3.0
2130.0,580.0,-2.0
4890.0,500.0,-4.0
1470.0,620.0,0.0
830.0,530.0,3.0
5010.0,320.0,2.0
6660.0,600.0,0.0
3980.0,370.0,1.0
670.0,470.0,2.0
4870.0,240.0,0.0
4760.0,260.0,1.0
2170.0,250.0,-4.0
4270.0,340.0,-3.0
3010.0,420.0,1.0
3790.0,350.0,2.0
2480.0,200.0,0.0
1630.0,380.0,2.0
2940.0,320.0,2.0
1740.0,200.0,2.0
1900.0,160.0,6.0
560.0,510.0,0.0
2390.0,330.0,-1.0
2170.0,470.0,-1.0
300.0,370.0,0.0
3130.0,400.0,-1.0
3900.0,360.0,-4.0
2910.0,380.0,3.0
2240.0,310.0,4.0
6260.0,490.0,5.0
4840.0,430.0,3.0
3580.0,400.0,0.0
3470.0,200.0,2.0
4790.0,350.0,6.0
3410.0,300.0,4.0
1190.0,280.0,3.0
3100.0,200.0,1.0
3480.0,340.0,1.0
2240.0,170.0,2.0
8000.0,120.0,1.0
5100.0,190.0,1.0
9160.0,280.0,-1.0
7450.0,150.0,-1.0
9280.0,320.0,-4.0
11080.0,1690.0,1.0
7690.0,270.0,0.0
13510.0,220.0,-1.0
17120.0,210.0,0.0
12090.0,270.0,-1.0
11550.0,520.0,1.0
33330.0,410.0,-1.0
19570.0,490.0,2.0
5790.0,340.0,1.0
3290.0,530.0,2.0
10300.0,500.0,nan
9090.0,490.0,nan
4540.0,390.0,nan
14530.0,420.0,nan
520.0,500.0,nan
2360.0,630.0,nan
2580.0,780.0,nan
4210.0,680.0,nan
4560.0,230.0,nan
3740.0,410.0,nan
570.0,310.0,nan
3480.0,320.0,nan
1430.0,430.0,nan
4020.0,310.0,nan
1040.0,270.0,nan
1270.0,100.0,nan
930.0,120.0,nan
6520.0,150.0,nan
3090.0,430.0,nan
2320.0,300.0,nan
4740.0,120.0,nan
4010.0,110.0,nan
7430.0,90.0,nan
6080.0,150.0,nan
13590.0,220.0,nan
18810.0,220.0,nan
7060.0,230.0,nan
15010.0,290.0,nan
3260.0,180.0,nan
6040.0,230.0,nan
5760.0,220.0,nan
7270.0,150.0,nan
2900.0,250.0,nan
4090.0,260.0,nan
3260.0,210.0,nan
1780.0,170.0,nan
1340.0,320.0,nan
7370.0,240.0,nan
6640.0,180.0,nan
1440.0,370.0,nan
3720.0,400.0,nan
4470.0,320.0,nan
11070.0,450.0,nan
9610.0,390.0,nan
6560.0,340.0,nan
98580.0,360.0,nan
14900.0,210.0,nan
80100.0,200.0,nan
7310.0,340.0,nan
8470.0,400.0,nan
5220.0,430.0,nan
11570.0,470.0,nan
10030.0,360.0,nan
7600.0,520.0,nan
1160.0,670.0,nan
2050.0,370.0,4.0
8820.0,300.0,4.0
5350.0,350.0,8.0
5530.0,360.0,9.0
5470.0,280.0,10.0
2800.0,280.0,12.0
3660.0,980.0,8.0
8280.0,370.0,6.0
3670.0,260.0,9.0
6000.0,290.0,8.0
4350.0,290.0,6.0
1510.0,420.0,5.0
3570.0,380.0,6.0
3020.0,400.0,2.0
950.0,420.0,3.0
5600.0,550.0,2.0
12780.0,490.0,3.0
5900.0,530.0,2.0
2050.0,420.0,6.0
8900.0,580.0,3.0
6720.0,920.0,9.0
5690.0,710.0,9.0
5750.0,840.0,8.0
9460.0,540.0,9.0
7810.0,730.0,9.0
1760.0,450.0,6.0
3810.0,520.0,6.0
14540.0,440.0,4.0
11970.0,450.0,7.0
13930.0,550.0,7.0
1400.0,450.0,5.0
4120.0,560.0,7.0
4450.0,400.0,5.0
3480.0,500.0,4.0
320.0,380.0,5.0
1230.0,490.0,7.0
950.0,540.0,11.0
1580.0,290.0,10.0
1240.0,560.0,7.0
nan,670.0,7.0
nan,420.0,5.0
890.0,880.0,6.0
2210.0,770.0,8.0
nan,740.0,8.0
420.0,550.0,7.0
800.0,490.0,9.0
770.0,490.0,9.0
3580.0,380.0,10.0
3230.0,420.0,11.0
nan,490.0,12.0
nan,480.0,11.0
nan,450.0,12.0
1890.0,400.0,8.0
1730.0,450.0,7.0
2040.0,360.0,8.0
3420.0,250.0,9.0
1550.0,580.0,8.0
770.0,660.0,10.0
770.0,430.0,10.0
2430.0,360.0,11.0
2590.0,530.0,8.0
2240.0,620.0,14.0
2390.0,540.0,9.0
1050.0,260.0,9.0
3480.0,250.0,8.0
560.0,360.0,11.0
2930.0,210.0,8.0
4000.0,130.0,10.0
3320.0,170.0,6.0
1010.0,160.0,7.0
840.0,260.0,8.0
2700.0,170.0,8.0
1040.0,180.0,10.0
180.0,170.0,11.0
nan,170.0,11.0
nan,140.0,12.0
nan,210.0,11.0
nan,280.0,9.0
nan,120.0,9.0
nan,160.0,3.0
4050.0,210.0,7.0
2300.0,190.0,6.0
800.0,200.0,4.0
110.0,150.0,9.0
900.0,170.0,5.0
1990.0,130.0,8.0
2840.0,200.0,3.0
1420.0,330.0,7.0
950.0,260.0,8.0
130.0,290.0,4.0
1780.0,150.0,1.0
1450.0,180.0,-1.0
1460.0,200.0,3.0
5310.0,200.0,-1.0
4010.0,140.0,2.0
1340.0,160.0,2.0
3510.0,150.0,2.0
2460.0,90.0,4.0
6500.0,90.0,6.0
7580.0,120.0,9.0
5150.0,150.0,10.0
3040.0,140.0,7.0
2110.0,140.0,2.0
1850.0,180.0,5.0
1180.0,230.0,4.0
2900.0,420.0,6.0
3970.0,170.0,4.0
850.0,260.0,7.0
4790.0,250.0,3.0
2040.0,290.0,8.0
1990.0,220.0,4.0
1790.0,180.0,5.0
1680.0,90.0,8.0
240.0,220.0,4.0
300.0,210.0,6.0
490.0,270.0,3.0
1960.0,300.0,3.0
2530.0,350.0,3.0
4310.0,290.0,-1.0
1680.0,310.0,5.0
270.0,290.0,8.0
670.0,400.0,9.0
1740.0,400.0,2.0
560.0,520.0,2.0
7140.0,370.0,5.0
3120.0,320.0,0.0
2910.0,350.0,-1.0
16220.0,480.0,5.0
9880.0,190.0,2.0
1610.0,400.0,4.0
4740.0,340.0,7.0
840.0,250.0,7.0
3400.0,340.0,7.0
2920.0,280.0,6.0
120.0,170.0,6.0
2280.0,220.0,5.0
2870.0,290.0,5.0
800.0,220.0,6.0
3680.0,230.0,5.0
300.0,230.0,3.0
1720.0,280.0,5.0
550.0,330.0,6.0
930.0,160.0,6.0
4180.0,290.0,8.0
6040.0,220.0,10.0
1460.0,270.0,9.0
2580.0,250.0,13.0
3230.0,200.0,8.0
1770.0,260.0,7.0
750.0,310.0,6.0
3460.0,390.0,7.0
4360.0,200.0,7.0
340.0,230.0,9.0
3160.0,230.0,8.0
2140.0,200.0,12.0
2400.0,160.0,12.0
590.0,70.0,14.0
470.0,100.0,14.0
570.0,80.0,12.0
470.0,120.0,9.0
1850.0,150.0,11.0
1620.0,170.0,8.0
1260.0,120.0,13.0
840.0,340.0,11.0
340.0,340.0,8.0
24020.0,280.0,8.0
3510.0,140.0,8.0
1010.0,200.0,9.0
900.0,310.0,7.0
730.0,250.0,9.0
810.0,370.0,10.0
nan,200.0,11.0
nan,400.0,13.0
1170.0,480.0,11.0
110.0,340.0,9.0
nan,350.0,12.0
nan,500.0,12.0
720.0,380.0,11.0
1000.0,280.0,14.0
670.0,410.0,14.0
2130.0,500.0,14.0
2610.0,630.0,9.0
1880.0,600.0,12.0
960.0,600.0,13.0
1000.0,820.0,13.0
1940.0,580.0,11.0
610.0,410.0,9.0
4550.0,470.0,8.0
1750.0,560.0,10.0
320.0,290.0,11.0
13870.0,300.0,10.0
2580.0,500.0,11.0
2520.0,250.0,11.0
1710.0,400.0,9.0
8870.0,500.0,11.0
4070.0,400.0,9.0
3260.0,340.0,9.0
2310.0,460.0,12.0
5280.0,640.0,13.0
4760.0,600.0,8.0
2800.0,790.0,12.0
840.0,840.0,11.0
nan,390.0,10.0
nan,520.0,8.0
6520.0,580.0,11.0
1120.0,960.0,11.0
1720.0,670.0,13.0
590.0,470.0,11.0
370.0,610.0,12.0
2040.0,460.0,9.0
390.0,450.0,12.0
2170.0,640.0,12.0
2960.0,510.0,9.0
3280.0,470.0,12.0
1420.0,610.0,12.0
2390.0,530.0,11.0
1440.0,370.0,11.0
2480.0,500.0,12.0
nan,540.0,10.0
nan,490.0,11.0
nan,300.0,11.0
nan,600.0,11.0
nan,520.0,11.0
nan,710.0,11.0
nan,430.0,9.0
nan,660.0,12.0
560.0,750.0,13.0
920.0,520.0,9.0
3460.0,410.0,8.0
nan,480.0,10.0
1580.0,470.0,8.0
2820.0,600.0,8.0
1810.0,400.0,8.0
5160.0,480.0,13.0
1980.0,400.0,11.0
2360.0,480.0,7.0
3480.0,510.0,9.0
2690.0,320.0,12.0
2160.0,440.0,10.0
1440.0,560.0,12.0
800.0,490.0,11.0
1700.0,460.0,11.0
8620.0,660.0,10.0
4650.0,770.0,8.0
nan,780.0,14.0
nan,860.0,14.0
1420.0,400.0,11.0
nan,630.0,13.0
nan,570.0,11.0
nan,560.0,10.0
nan,420.0,16.0
nan,410.0,9.0
nan,490.0,8.0
nan,600.0,7.0
nan,520.0,8.0
nan,420.0,6.0
450.0,310.0,10.0
820.0,780.0,13.0
nan,560.0,12.0
370.0,470.0,9.0
670.0,260.0,9.0
5080.0,350.0,9.0
6550.0,330.0,8.0
3790.0,370.0,9.0
1420.0,620.0,8.0
2650.0,350.0,8.0
930.0,450.0,8.0
6360.0,350.0,7.0
3440.0,310.0,8.0
620.0,120.0,6.0
nan,90.0,8.0
nan,160.0,6.0
1900.0,120.0,6.0
1260.0,790.0,9.0
1830.0,1210.0,12.0
2000.0,290.0,7.0
1210.0,210.0,11.0
1000.0,390.0,12.0
1420.0,380.0,12.0
1340.0,350.0,11.0
3830.0,380.0,11.0
3300.0,430.0,11.0
640.0,510.0,12.0
320.0,470.0,7.0
13940.0,380.0,5.0
4440.0,490.0,10.0
920.0,450.0,8.0
3310.0,500.0,9.0
5320.0,550.0,7.0
6480.0,640.0,4.0
2110.0,730.0,9.0
360.0,610.0,8.0
4210.0,560.0,10.0
4140.0,350.0,9.0
480.0,400.0,11.0
420.0,170.0,8.0
2460.0,120.0,11.0
1990.0,210.0,11.0
2160.0,310.0,12.0
560.0,240.0,9.0
4490.0,340.0,12.0
3420.0,250.0,9.0
320.0,280.0,9.0
2730.0,350.0,10.0
12950.0,300.0,9.0
1200.0,270.0,9.0
970.0,370.0,6.0
520.0,540.0,9.0
1000.0,300.0,9.0
2240.0,360.0,9.0
3730.0,270.0,4.0
1450.0,420.0,8.0
320.0,420.0,6.0
1040.0,310.0,1.0
1010.0,360.0,8.0
1260.0,340.0,11.0
1620.0,nan,4.0
390.0,460.0,5.0
1450.0,600.0,6.0
990.0,580.0,2.0
2910.0,540.0,-1.0
1050.0,470.0,6.0
1970.0,700.0,2.0
1470.0,520.0,7.0
4130.0,450.0,4.0
3000.0,330.0,2.0
860.0,580.0,1.0
7510.0,440.0,-2.0
22550.0,480.0,6.0
6390.0,300.0,3.0
6010.0,390.0,5.0
780.0,460.0,3.0
7380.0,490.0,3.0
3370.0,540.0,0.0
2110.0,510.0,3.0
6020.0,610.0,6.0
5910.0,530.0,8.0
4740.0,330.0,2.0
3730.0,380.0,-1.0
2710.0,470.0,-1.0
5950.0,280.0,1.0
3800.0,210.0,3.0
3760.0,280.0,-1.0
6610.0,200.0,-1.0
5200.0,490.0,-2.0
12190.0,320.0,-1.0
8220.0,470.0,4.0
38570.0,520.0,3.0
3250.0,440.0,4.0
4190.0,250.0,6.0
3150.0,410.0,7.0
6420.0,300.0,6.0
8220.0,260.0,-2.0
10820.0,330.0,-3.0
6460.0,260.0,-6.0
4150.0,310.0,-4.0
6120.0,260.0,-3.0
5830.0,150.0,2.0
7770.0,170.0,0.0
1580.0,190.0,-2.0
5090.0,340.0,-2.0
3030.0,220.0,-1.0
1670.0,300.0,1.0
1470.0,250.0,6.0
5900.0,200.0,9.0
1580.0,230.0,4.0
2530.0,350.0,2.0
570.0,320.0,8.0
7760.0,400.0,11.0
6440.0,450.0,6.0
1500.0,260.0,1.0
2190.0,300.0,-3.0
3750.0,530.0,-2.0
310.0,270.0,-4.0
2030.0,150.0,0.0
5130.0,230.0,3.0
2500.0,370.0,2.0
1740.0,230.0,0.0
1480.0,250.0,1.0
3600.0,140.0,2.0
5910.0,110.0,0.0
1210.0,100.0,1.0
3010.0,190.0,-4.0
2270.0,160.0,-3.0
630.0,160.0,1.0
3720.0,150.0,2.0
470.0,190.0,0.0
2910.0,210.0,2.0
1040.0,220.0,2.0
610.0,180.0,2.0
2790.0,230.0,6.0
470.0,160.0,0.0
470.0,300.0,-1.0
5440.0,260.0,-1.0
3030.0,240.0,0.0
2950.0,280.0,-1.0
5010.0,280.0,-4.0
1280.0,200.0,3.0
1770.0,260.0,4.0
1120.0,430.0,5.0
720.0,130.0,3.0
950.0,340.0,0.0
15620.0,220.0,2.0
1160.0,230.0,6.0
320.0,270.0,4.0
1660.0,340.0,3.0
11940.0,470.0,1.0
710.0,160.0,1.0
2510.0,360.0,2.0
9450.0,430.0,1.0
9390.0,260.0,1.0
6920.0,250.0,-1.0
50240.0,280.0,-1.0
7320.0,430.0,-4.0
2280.0,970.0,1.0
10710.0,430.0,0.0
3540.0,640.0,-1.0
990.0,500.0,0.0
10740.0,610.0,-1.0
19080.0,340.0,1.0
1800.0,510.0,-1.0
3350.0,1070.0,2.0
3070.0,530.0,1.0
3430.0,430.0,2.0
4500.0,550.0,nan
14000.0,610.0,nan
10610.0,460.0,nan
5890.0,340.0,nan
11460.0,460.0,nan
6100.0,790.0,nan
5860.0,670.0,nan
15010.0,440.0,nan
5690.0,550.0,nan
3710.0,460.0,nan
4080.0,350.0,nan
7110.0,420.0,nan
2050.0,280.0,nan
1620.0,360.0,nan
3320.0,140.0,nan
1810.0,270.0,nan
2400.0,310.0,nan
2250.0,270.0,nan
740.0,160.0,nan
310.0,300.0,nan
nan,320.0,nan
nan,210.0,nan
nan,220.0,nan
1230.0,350.0,nan
nan,220.0,nan
nan,190.0,nan
630.0,210.0,nan
1450.0,230.0,nan
2030.0,210.0,nan
1260.0,240.0,nan
710.0,300.0,nan
2950.0,580.0,nan
3510.0,350.0,nan
2280.0,300.0,nan
2430.0,240.0,nan
7000.0,520.0,nan
11490.0,750.0,nan
8800.0,410.0,nan
4450.0,560.0,nan
6780.0,850.0,nan
7620.0,590.0,nan
1840.0,510.0,nan
6710.0,570.0,nan
1200.0,810.0,nan
3420.0,400.0,nan
10900.0,440.0,nan
18990.0,540.0,nan
3100.0,490.0,nan
74190.0,580.0,nan
5530.0,1020.0,nan
3330.0,520.0,nan
4760.0,940.0,nan
8320.0,610.0,nan
8390.0,510.0,nan
14640.0,560.0,nan
8560.0,390.0,4.0
1920.0,350.0,4.0
8220.0,680.0,8.0
2380.0,540.0,9.0
1420.0,500.0,10.0
1440.0,750.0,12.0
7470.0,410.0,8.0
1790.0,330.0,6.0
750.0,390.0,9.0
2120.0,380.0,8.0
2230.0,450.0,6.0
710.0,340.0,5.0
420.0,580.0,6.0
950.0,380.0,2.0
110.0,650.0,3.0
340.0,660.0,2.0
1830.0,470.0,3.0
2280.0,400.0,2.0
200.0,550.0,6.0
810.0,680.0,3.0
4530.0,500.0,9.0
2100.0,390.0,9.0
1900.0,410.0,8.0
2190.0,650.0,9.0
670.0,470.0,9.0
2130.0,270.0,6.0
1220.0,390.0,6.0
1960.0,500.0,4.0
730.0,700.0,7.0
3160.0,510.0,7.0
2730.0,550.0,5.0
2840.0,520.0,7.0
200.0,580.0,5.0
220.0,350.0,4.0
1270.0,370.0,5.0
3280.0,570.0,7.0
11000.0,550.0,11.0
940.0,390.0,10.0
300.0,580.0,7.0
nan,410.0,7.0
nan,600.0,5.0
nan,510.0,6.0
nan,500.0,8.0
nan,500.0,8.0
nan,610.0,7.0
nan,560.0,9.0
nan,360.0,9.0
nan,440.0,10.0
nan,730.0,11.0
27860.0,420.0,12.0
7740.0,460.0,11.0
nan,380.0,12.0
nan,560.0,8.0
nan,480.0,7.0
nan,380.0,8.0
930.0,550.0,9.0
1230.0,630.0,8.0
1480.0,360.0,10.0
1400.0,360.0,10.0
3530.0,600.0,11.0
750.0,580.0,8.0
2810.0,360.0,14.0
1490.0,450.0,9.0
4260.0,810.0,9.0
3090.0,500.0,8.0
1580.0,560.0,11.0
1570.0,430.0,8.0
4710.0,780.0,10.0
1530.0,460.0,6.0
660.0,450.0,7.0
1520.0,390.0,8.0
2400.0,370.0,8.0
1800.0,470.0,10.0
nan,350.0,11.0
nan,420.0,11.0
nan,250.0,3.0
2040.0,560.0,7.0
1000.0,860.0,6.0
900.0,560.0,4.0
3330.0,400.0,9.0
420.0,390.0,5.0
1180.0,650.0,8.0
950.0,420.0,3.0
1480.0,400.0,7.0
220.0,440.0,8.0
1790.0,270.0,4.0
870.0,300.0,1.0
1120.0,360.0,-1.0
1440.0,420.0,3.0
nan,650.0,-1.0
2080.0,380.0,2.0
2930.0,380.0,2.0
5940.0,530.0,2.0
4080.0,390.0,4.0
1730.0,270.0,6.0
9540.0,420.0,9.0
5590.0,400.0,10.0
2380.0,510.0,7.0
3260.0,600.0,2.0
1370.0,560.0,5.0
2550.0,760.0,4.0
4270.0,450.0,6.0
1100.0,640.0,4.0
4070.0,590.0,7.0
3080.0,670.0,3.0
1710.0,600.0,8.0
2690.0,760.0,4.0
3820.0,580.0,5.0
6020.0,500.0,8.0
8030.0,380.0,4.0
6620.0,700.0,6.0
6520.0,640.0,3.0
8260.0,740.0,3.0
2270.0,990.0,3.0
3350.0,740.0,-1.0
7370.0,580.0,5.0
5440.0,330.0,8.0
3110.0,580.0,9.0
2600.0,570.0,2.0
2400.0,670.0,2.0
7560.0,460.0,5.0
13590.0,590.0,0.0
5080.0,470.0,-1.0
9320.0,250.0,5.0
3370.0,620.0,2.0
4500.0,540.0,4.0
1500.0,460.0,7.0
3790.0,680.0,7.0
2950.0,520.0,7.0
7850.0,270.0,6.0
1010.0,310.0,6.0
1670.0,430.0,5.0
1970.0,180.0,5.0
nan,320.0,6.0
nan,390.0,5.0
290.0,320.0,3.0
620.0,420.0,5.0
nan,380.0,6.0
nan,270.0,6.0
14620.0,320.0,8.0
1620.0,280.0,10.0
nan,180.0,9.0
nan,330.0,13.0
nan,330.0,8.0
240.0,320.0,7.0
nan,270.0,6.0
nan,290.0,7.0
2350.0,450.0,7.0
1620.0,560.0,9.0
630.0,380.0,8.0
880.0,730.0,12.0
6000.0,560.0,12.0
4490.0,430.0,14.0
2630.0,230.0,14.0
5960.0,400.0,12.0
5350.0,300.0,9.0
6530.0,340.0,11.0
3650.0,420.0,8.0
7090.0,570.0,13.0
8280.0,280.0,11.0
5820.0,330.0,8.0
8090.0,400.0,8.0
6620.0,550.0,8.0
4460.0,620.0,9.0
4020.0,nan,7.0
3940.0,nan,9.0
4030.0,nan,10.0
2460.0,nan,11.0
1630.0,nan,13.0
3620.0,nan,11.0
1710.0,180.0,9.0
1730.0,140.0,12.0
5010.0,390.0,12.0
4570.0,280.0,11.0
1340.0,270.0,14.0
2610.0,290.0,14.0
1260.0,380.0,14.0
5980.0,270.0,9.0
1620.0,140.0,12.0
1900.0,230.0,13.0
170.0,90.0,13.0
7290.0,70.0,11.0
3020.0,460.0,9.0
8830.0,390.0,8.0
3220.0,210.0,10.0
5600.0,430.0,11.0
3880.0,260.0,10.0
5890.0,230.0,11.0
1260.0,140.0,11.0
7160.0,110.0,9.0
4610.0,210.0,11.0
5370.0,130.0,9.0
1010.0,110.0,9.0
1210.0,80.0,12.0
1460.0,80.0,13.0
12840.0,120.0,8.0
2200.0,150.0,12.0
560.0,140.0,11.0
2810.0,140.0,10.0
2840.0,280.0,8.0
1710.0,160.0,11.0
2100.0,120.0,11.0
66780.0,240.0,13.0
1170.0,400.0,11.0
3000.0,360.0,12.0
5640.0,160.0,9.0
5900.0,290.0,12.0
400.0,260.0,12.0
1970.0,100.0,9.0
9260.0,140.0,12.0
3670.0,190.0,12.0
320.0,280.0,11.0
2460.0,120.0,11.0
5100.0,200.0,12.0
1900.0,210.0,10.0
4650.0,270.0,11.0
5530.0,230.0,11.0
13060.0,290.0,11.0
5900.0,240.0,11.0
43540.0,160.0,11.0
15010.0,140.0,9.0
4780.0,190.0,12.0
3290.0,180.0,13.0
810.0,210.0,9.0
2570.0,150.0,8.0
3000.0,nan,10.0
3000.0,nan,8.0
