gen_gas,gen_elec
2040.0,270.0
2530.0,340.0
5530.0,220.0
2030.0,140.0
1380.0,260.0
1900.0,280.0
1580.0,240.0
1500.0,310.0
2360.0,340.0
1340.0,480.0
790.0,270.0
680.0,240.0
170.0,440.0
1440.0,270.0
3800.0,270.0
1740.0,280.0
6410.0,300.0
3400.0,360.0
4040.0,260.0
4360.0,170.0
3580.0,100.0
5370.0,120.0
3530.0,200.0
5890.0,180.0
4320.0,160.0
2910.0,210.0
4800.0,90.0
2000.0,230.0
110.0,260.0
3140.0,130.0
4200.0,240.0
3900.0,190.0
3140.0,460.0
2960.0,320.0
3220.0,240.0
2050.0,240.0
7860.0,220.0
2000.0,200.0
3630.0,290.0
3740.0,260.0
4660.0,210.0
2000.0,180.0
2780.0,140.0
320.0,nan
1260.0,100.0
2390.0,100.0
840.0,120.0
840.0,190.0
360.0,nan
2660.0,nan
1180.0,120.0
340.0,120.0
3360.0,510.0
3520.0,270.0
4340.0,270.0
3180.0,280.0
3580.0,170.0
2800.0,480.0
2970.0,280.0
2890.0,270.0
2660.0,210.0
5690.0,190.0
4270.0,240.0
3240.0,200.0
1920.0,100.0
4420.0,210.0
300.0,90.0
2760.0,100.0
440.0,330.0
3000.0,280.0
4030.0,210.0
1960.0,650.0
740.0,300.0
1990.0,240.0
1700.0,330.0
1290.0,290.0
1110.0,360.0
2060.0,160.0
630.0,370.0
3020.0,270.0
1150.0,380.0
2220.0,240.0
440.0,220.0
5100.0,290.0
2780.0,250.0
4320.0,160.0
6930.0,300.0
6410.0,260.0
4550.0,250.0
7030.0,150.0
3120.0,460.0
10240.0,250.0
7320.0,180.0
8220.0,330.0
3730.0,330.0
6290.0,310.0
6240.0,320.0
8990.0,220.0
12520.0,250.0
7110.0,270.0
6770.0,380.0
8990.0,180.0
9370.0,220.0
2910.0,290.0
5060.0,220.0
1920.0,260.0
630.0,200.0
2690.0,350.0
2940.0,390.0
1860.0,270.0
2280.0,340.0
840.0,250.0
770.0,300.0
480.0,270.0
1730.0,300.0
860.0,330.0
910.0,440.0
1820.0,430.0
3160.0,430.0
2210.0,600.0
4180.0,490.0
1620.0,440.0
730.0,470.0
740.0,430.0
1840.0,440.0
110.0,470.0
1060.0,400.0
800.0,320.0
1260.0,370.0
900.0,260.0
870.0,250.0
2290.0,280.0
3160.0,410.0
1080.0,160.0
2770.0,230.0
2080.0,450.0
1860.0,270.0
2620.0,420.0
1720.0,300.0
2090.0,380.0
200.0,610.0
840.0,470.0
790.0,320.0
660.0,290.0
1710.0,240.0
220.0,380.0
1140.0,380.0
1940.0,510.0
2600.0,580.0
3640.0,300.0
8830.0,440.0
2110.0,320.0
2410.0,390.0
2840.0,340.0
4230.0,440.0
2980.0,480.0
2170.0,480.0
2740.0,430.0
540.0,280.0
2530.0,390.0
1580.0,360.0
3000.0,390.0
2060.0,330.0
5010.0,500.0
4620.0,360.0
4280.0,380.0
400.0,490.0
7020.0,270.0
4600.0,380.0
7380.0,480.0
5180.0,480.0
9560.0,370.0
33330.0,420.0
2530.0,460.0
8320.0,610.0
4680.0,530.0
4510.0,330.0
2920.0,nan
6500.0,370.0
2620.0,510.0
5230.0,420.0
7990.0,210.0
3350.0,250.0
3280.0,240.0
8820.0,320.0
91990.0,280.0
1740.0,230.0
4350.0,170.0
3940.0,430.0
910.0,420.0
2340.0,340.0
12450.0,540.0
5540.0,420.0
3360.0,450.0
6920.0,520.0
8620.0,600.0
4180.0,430.0
7450.0,300.0
nan,310.0
nan,460.0
nan,360.0
nan,630.0
nan,380.0
nan,290.0
nan,320.0
nan,310.0
nan,nan
nan,140.0
nan,160.0
nan,240.0
nan,290.0
nan,100.0
nan,160.0
nan,110.0
nan,100.0
1520.0,130.0
2640.0,190.0
nan,110.0
nan,nan
nan,120.0
nan,190.0
760.0,240.0
1730.0,180.0
840.0,260.0
2430.0,300.0
2900.0,370.0
1990.0,290.0
3210.0,200.0
3260.0,540.0
4060.0,880.0
5030.0,nan
5690.0,nan
8410.0,nan
7370.0,nan
10740.0,nan
9780.0,nan
6200.0,nan
5130.0,nan
9850.0,nan
690.0,nan
3690.0,100.0
6860.0,120.0
4840.0,160.0
3740.0,130.0
5900.0,170.0
4700.0,160.0
3690.0,240.0
3380.0,170.0
4650.0,430.0
6560.0,380.0
1320.0,290.0
440.0,240.0
11070.0,460.0
2500.0,200.0
810.0,220.0
1190.0,440.0
2870.0,270.0
630.0,200.0
590.0,300.0
nan,410.0
nan,250.0
450.0,150.0
1260.0,140.0
1990.0,210.0
580.0,200.0
3070.0,100.0
1520.0,310.0
560.0,260.0
2840.0,260.0
3720.0,nan
1210.0,nan
3120.0,380.0
4040.0,190.0
4640.0,210.0
2420.0,380.0
6100.0,350.0
470.0,290.0
940.0,240.0
1200.0,260.0
2710.0,300.0
1030.0,100.0
350.0,100.0
5440.0,80.0
nan,100.0
780.0,100.0
8900.0,270.0
12520.0,90.0
18090.0,90.0
nan,100.0
nan,80.0
nan,90.0
nan,150.0
nan,120.0
nan,90.0
nan,280.0
nan,160.0
nan,200.0
nan,160.0
nan,230.0
nan,240.0
nan,260.0
nan,220.0
nan,370.0
nan,400.0
nan,280.0
nan,220.0
nan,230.0
nan,80.0
1680.0,90.0
320.0,100.0
2860.0,110.0
1630.0,220.0
1820.0,100.0
400.0,170.0
540.0,140.0
4390.0,280.0
3100.0,180.0
2160.0,180.0
3970.0,210.0
1510.0,370.0
1880.0,360.0
470.0,320.0
1360.0,410.0
950.0,430.0
1330.0,400.0
1310.0,410.0
4000.0,420.0
2740.0,440.0
1440.0,420.0
2760.0,nan
2260.0,370.0
2660.0,610.0
2290.0,390.0
7900.0,400.0
8610.0,670.0
10070.0,550.0
11020.0,540.0
12320.0,410.0
7020.0,570.0
3260.0,480.0
5670.0,340.0
4520.0,480.0
6160.0,310.0
2980.0,640.0
5570.0,460.0
11580.0,620.0
1720.0,250.0
5010.0,560.0
4990.0,670.0
7100.0,720.0
2800.0,240.0
8430.0,410.0
8240.0,480.0
4790.0,460.0
1860.0,720.0
2920.0,440.0
nan,340.0
nan,480.0
nan,380.0
nan,220.0
nan,160.0
840.0,290.0
6480.0,180.0
2460.0,100.0
4220.0,100.0
4110.0,110.0
4520.0,150.0
3240.0,80.0
4330.0,90.0
2900.0,120.0
7180.0,90.0
3520.0,100.0
4700.0,120.0
3040.0,140.0
4170.0,130.0
1660.0,220.0
14200.0,190.0
170.0,260.0
830.0,290.0
2330.0,200.0
nan,260.0
nan,230.0
nan,260.0
710.0,260.0
nan,230.0
340.0,340.0
940.0,270.0
nan,240.0
nan,180.0
nan,300.0
nan,510.0
nan,410.0
nan,470.0
nan,370.0
220.0,480.0
nan,480.0
nan,510.0
nan,500.0
nan,520.0
nan,560.0
nan,600.0
nan,340.0
nan,360.0
nan,270.0
nan,320.0
nan,210.0
nan,310.0
1700.0,180.0
470.0,360.0
730.0,390.0
1050.0,390.0
200.0,340.0
670.0,320.0
620.0,350.0
2240.0,360.0
390.0,280.0
480.0,340.0
1540.0,190.0
2210.0,200.0
2050.0,160.0
9210.0,380.0
10770.0,280.0
5980.0,180.0
860.0,220.0
5130.0,180.0
nan,250.0
4830.0,220.0
3100.0,nan
3500.0,nan
440.0,310.0
2910.0,200.0
860.0,140.0
nan,240.0
nan,280.0
nan,260.0
nan,260.0
nan,370.0
nan,190.0
nan,280.0
nan,420.0
nan,210.0
nan,270.0
nan,290.0
nan,190.0
nan,340.0
nan,220.0
nan,250.0
nan,490.0
nan,430.0
nan,350.0
nan,280.0
nan,450.0
nan,420.0
610.0,220.0
6930.0,400.0
3410.0,110.0
2420.0,190.0
3190.0,240.0
7140.0,110.0
25590.0,140.0
4250.0,90.0
750.0,110.0
4440.0,170.0
2160.0,120.0
3910.0,280.0
1150.0,200.0
940.0,370.0
1790.0,360.0
nan,250.0
nan,220.0
740.0,140.0
15400.0,210.0
nan,320.0
nan,180.0
860.0,140.0
nan,280.0
nan,280.0
nan,170.0
nan,150.0
3010.0,110.0
1840.0,100.0
1180.0,150.0
1560.0,180.0
410.0,110.0
1540.0,190.0
460.0,120.0
4140.0,180.0
85290.0,150.0
3280.0,280.0
3570.0,170.0
5260.0,150.0
8640.0,220.0
4190.0,250.0
5820.0,120.0
390.0,100.0
6590.0,160.0
6290.0,210.0
6530.0,170.0
1640.0,100.0
nan,130.0
1110.0,200.0
590.0,210.0
2840.0,200.0
650.0,190.0
1580.0,230.0
1080.0,240.0
1040.0,240.0
1310.0,160.0
7130.0,120.0
2970.0,260.0
3440.0,330.0
620.0,250.0
nan,140.0
4120.0,480.0
3740.0,700.0
11440.0,460.0
7930.0,430.0
6230.0,580.0
1970.0,560.0
5820.0,240.0
9330.0,490.0
6540.0,490.0
27040.0,370.0
2560.0,420.0
11100.0,510.0
6750.0,390.0
6990.0,350.0
9450.0,840.0
7440.0,410.0
5620.0,330.0
22750.0,640.0
8090.0,340.0
23220.0,430.0
11970.0,350.0
8040.0,420.0
3450.0,310.0
1960.0,410.0
2120.0,290.0
1200.0,280.0
3790.0,270.0
2500.0,430.0
940.0,460.0
1010.0,390.0
2110.0,300.0
2660.0,260.0
470.0,220.0
590.0,240.0
900.0,180.0
1160.0,160.0
1900.0,160.0
2290.0,280.0
2880.0,180.0
1980.0,200.0
2400.0,170.0
3280.0,250.0
790.0,260.0
3920.0,100.0
2400.0,130.0
3160.0,120.0
nan,110.0
1110.0,280.0
630.0,150.0
810.0,120.0
200.0,190.0
1430.0,220.0
3320.0,80.0
5440.0,100.0
5370.0,110.0
3400.0,220.0
8060.0,200.0
7320.0,140.0
3600.0,150.0
3630.0,220.0
2390.0,210.0
7470.0,210.0
9730.0,190.0
nan,320.0
4020.0,nan
9760.0,430.0
6890.0,400.0
6820.0,540.0
17740.0,270.0
15560.0,310.0
4270.0,340.0
5160.0,280.0
5080.0,310.0
6030.0,230.0
8250.0,370.0
7480.0,280.0
6410.0,330.0
6440.0,250.0
14900.0,280.0
4150.0,350.0
1900.0,250.0
nan,110.0
nan,140.0
2530.0,350.0
900.0,270.0
nan,160.0
nan,120.0
710.0,110.0
1370.0,100.0
3370.0,110.0
1120.0,120.0
6210.0,210.0
4810.0,160.0
3780.0,190.0
3000.0,200.0
2660.0,250.0
500.0,110.0
3160.0,100.0
1460.0,210.0
4640.0,120.0
4110.0,100.0
4950.0,90.0
7390.0,80.0
1540.0,150.0
4760.0,90.0
4020.0,150.0
2860.0,110.0
4760.0,120.0
9160.0,100.0
4640.0,110.0
3900.0,120.0
5050.0,140.0
10320.0,180.0
5960.0,340.0
9160.0,220.0
9620.0,200.0
6870.0,290.0
8470.0,290.0
4810.0,270.0
9620.0,160.0
7830.0,100.0
4250.0,250.0
7820.0,210.0
3260.0,210.0
3880.0,100.0
3460.0,100.0
4020.0,150.0
nan,250.0
nan,180.0
nan,60.0
nan,140.0
nan,190.0
nan,90.0
nan,100.0
nan,70.0
nan,130.0
nan,210.0
nan,170.0
nan,160.0
8090.0,150.0
nan,180.0
nan,200.0
nan,180.0
nan,200.0
1230.0,220.0
2240.0,300.0
630.0,280.0
500.0,270.0
2630.0,300.0
2870.0,nan
2900.0,540.0
3420.0,250.0
2950.0,300.0
4000.0,210.0
3830.0,210.0
2320.0,380.0
8420.0,230.0
10270.0,140.0
6780.0,110.0
5590.0,150.0
12070.0,200.0
3830.0,350.0
1510.0,260.0
31590.0,170.0
8140.0,280.0
14740.0,180.0
9730.0,260.0
7460.0,260.0
7980.0,300.0
2550.0,280.0
1380.0,190.0
25590.0,140.0
5830.0,220.0
6320.0,270.0
14060.0,370.0
8640.0,300.0
9170.0,350.0
7650.0,420.0
1640.0,370.0
8310.0,370.0
6070.0,360.0
6710.0,630.0
4620.0,540.0
6210.0,530.0
5660.0,470.0
4000.0,510.0
13560.0,400.0
7520.0,400.0
3420.0,320.0
2410.0,290.0
1560.0,260.0
1010.0,310.0
170.0,400.0
1370.0,560.0
950.0,490.0
450.0,470.0
5080.0,600.0
2530.0,730.0
2080.0,1370.0
6140.0,790.0
780.0,nan
3660.0,1010.0
1740.0,90.0
4160.0,90.0
3520.0,90.0
1080.0,120.0
4560.0,120.0
8150.0,370.0
1720.0,310.0
110.0,270.0
nan,230.0
nan,320.0
nan,370.0
360.0,270.0
740.0,390.0
12510.0,260.0
2480.0,390.0
2340.0,210.0
3670.0,120.0
4200.0,270.0
5270.0,240.0
1270.0,520.0
1140.0,220.0
nan,80.0
nan,100.0
370.0,110.0
750.0,140.0
3260.0,180.0
1710.0,150.0
840.0,120.0
nan,170.0
nan,120.0
nan,100.0
nan,50.0
nan,70.0
nan,90.0
nan,170.0
nan,240.0
nan,140.0
nan,170.0
nan,210.0
nan,250.0
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,60.0
nan,140.0
nan,210.0
nan,210.0
nan,120.0
nan,140.0
nan,60.0
nan,70.0
nan,180.0
nan,100.0
nan,140.0
nan,100.0
nan,180.0
nan,110.0
nan,80.0
nan,90.0
nan,130.0
nan,180.0
nan,150.0
nan,140.0
nan,220.0
nan,180.0
nan,170.0
nan,140.0
nan,120.0
nan,200.0
nan,150.0
nan,110.0
nan,90.0
nan,120.0
nan,180.0
nan,170.0
4110.0,210.0
nan,300.0
nan,180.0
nan,210.0
nan,190.0
nan,280.0
nan,nan
nan,150.0
nan,360.0
nan,350.0
nan,380.0
4920.0,230.0
3400.0,570.0
5280.0,510.0
2280.0,560.0
5240.0,630.0
1900.0,700.0
930.0,650.0
3340.0,1380.0
960.0,510.0
1170.0,740.0
980.0,610.0
950.0,620.0
230.0,520.0
1820.0,580.0
14040.0,790.0
2400.0,1000.0
2470.0,990.0
2260.0,1240.0
3580.0,760.0
2410.0,1270.0
1220.0,790.0
2560.0,960.0
46270.0,1220.0
nan,580.0
nan,610.0
nan,500.0
nan,640.0
nan,480.0
nan,1200.0
730.0,740.0
1110.0,760.0
650.0,760.0
1260.0,710.0
240.0,850.0
1970.0,740.0
220.0,760.0
2920.0,390.0
160.0,580.0
470.0,480.0
nan,430.0
nan,470.0
nan,400.0
nan,320.0
nan,360.0
nan,410.0
nan,540.0
nan,380.0
nan,420.0
10730.0,310.0
nan,460.0
nan,420.0
nan,290.0
nan,410.0
nan,430.0
nan,350.0
nan,540.0
nan,310.0
nan,100.0
nan,220.0
nan,240.0
nan,nan
nan,190.0
580.0,220.0
1070.0,200.0
550.0,270.0
4770.0,250.0
2620.0,250.0
5590.0,290.0
1090.0,250.0
11830.0,270.0
4230.0,470.0
6290.0,250.0
6850.0,290.0
4440.0,nan
3120.0,nan
3520.0,nan
5440.0,nan
1580.0,nan
2730.0,nan
3650.0,nan
420.0,nan
4030.0,nan
2260.0,nan
1580.0,nan
1970.0,nan
380.0,nan
1180.0,nan
1830.0,nan
1300.0,nan
320.0,nan
1550.0,nan
3100.0,nan
2880.0,nan
2000.0,nan
1930.0,80.0
7780.0,110.0
3940.0,80.0
3710.0,180.0
1210.0,130.0
nan,130.0
nan,150.0
980.0,140.0
9730.0,90.0
1340.0,120.0
660.0,390.0
1280.0,140.0
3490.0,130.0
3560.0,330.0
2350.0,350.0
6590.0,470.0
1380.0,350.0
1360.0,380.0
2340.0,350.0
150.0,310.0
3240.0,110.0
1230.0,180.0
580.0,310.0
1190.0,180.0
660.0,140.0
39410.0,230.0
2360.0,210.0
3820.0,300.0
2690.0,200.0
4430.0,340.0
7620.0,180.0
6900.0,270.0
5390.0,180.0
42620.0,160.0
5450.0,140.0
12960.0,200.0
4590.0,230.0
11770.0,70.0
10380.0,180.0
16110.0,180.0
4980.0,250.0
8870.0,440.0
8990.0,360.0
9560.0,280.0
nan,280.0
8490.0,480.0
5230.0,410.0
2400.0,340.0
3130.0,450.0
2750.0,620.0
2200.0,340.0
1350.0,460.0
1410.0,480.0
1580.0,470.0
2800.0,420.0
2580.0,590.0
2240.0,500.0
1790.0,440.0
1900.0,680.0
4060.0,370.0
1840.0,390.0
3140.0,510.0
390.0,600.0
4240.0,390.0
3520.0,260.0
6040.0,480.0
6310.0,400.0
9160.0,430.0
6290.0,370.0
22830.0,560.0
3300.0,570.0
3380.0,320.0
7940.0,570.0
4810.0,470.0
5530.0,880.0
9140.0,530.0
1120.0,550.0
4080.0,440.0
5660.0,590.0
2250.0,940.0
1850.0,650.0
2780.0,470.0
2490.0,560.0
3300.0,600.0
4110.0,500.0
7230.0,370.0
2130.0,360.0
2530.0,420.0
290.0,500.0
1870.0,470.0
540.0,360.0
990.0,500.0
nan,470.0
nan,350.0
nan,260.0
nan,370.0
nan,nan
6120.0,340.0
1870.0,580.0
340.0,240.0
810.0,400.0
2730.0,440.0
3020.0,480.0
320.0,390.0
1580.0,390.0
720.0,640.0
1850.0,600.0
1600.0,390.0
940.0,450.0
2160.0,450.0
nan,400.0
nan,430.0
nan,510.0
nan,480.0
nan,420.0
nan,290.0
nan,280.0
3670.0,500.0
480.0,530.0
1040.0,320.0
1010.0,480.0
2090.0,210.0
1350.0,320.0
2960.0,260.0
1210.0,230.0
2590.0,110.0
9070.0,130.0
2430.0,100.0
1070.0,200.0
5670.0,140.0
1460.0,170.0
2870.0,380.0
2420.0,350.0
3130.0,270.0
510.0,250.0
2900.0,260.0
2740.0,260.0
5200.0,220.0
1090.0,230.0
2240.0,290.0
8880.0,200.0
4950.0,300.0
3880.0,200.0
3680.0,280.0
8810.0,120.0
9540.0,150.0
3660.0,130.0
5850.0,90.0
5290.0,300.0
4320.0,320.0
3430.0,280.0
4540.0,240.0
1930.0,280.0
3340.0,300.0
2620.0,340.0
3160.0,270.0
2240.0,380.0
5830.0,350.0
1920.0,400.0
12880.0,300.0
9800.0,110.0
6850.0,250.0
10870.0,470.0
9360.0,300.0
7710.0,280.0
6530.0,270.0
5930.0,350.0
12560.0,240.0
4020.0,200.0
9800.0,200.0
14570.0,200.0
8000.0,160.0
4710.0,100.0
72900.0,140.0
4180.0,130.0
3510.0,150.0
4460.0,110.0
2530.0,190.0
3410.0,220.0
4060.0,180.0
5660.0,210.0
5760.0,170.0
3610.0,240.0
6720.0,80.0
6000.0,130.0
5330.0,260.0
2960.0,240.0
4210.0,300.0
3760.0,170.0
4900.0,520.0
7680.0,380.0
6380.0,450.0
9600.0,450.0
7320.0,500.0
6460.0,420.0
7920.0,420.0
12880.0,470.0
13460.0,380.0
15600.0,370.0
4890.0,390.0
5540.0,590.0
3270.0,400.0
4700.0,590.0
2890.0,640.0
840.0,500.0
3660.0,390.0
3530.0,930.0
5220.0,620.0
6450.0,560.0
1780.0,500.0
2050.0,570.0
9360.0,520.0
10050.0,520.0
9550.0,500.0
12980.0,670.0
3620.0,620.0
6540.0,1690.0
6500.0,1230.0
7790.0,1060.0
2680.0,990.0
6360.0,740.0
nan,1720.0
nan,210.0
nan,80.0
nan,70.0
nan,120.0
1260.0,100.0
470.0,100.0
910.0,160.0
680.0,170.0
2220.0,150.0
1400.0,160.0
1400.0,90.0
630.0,90.0
1080.0,440.0
1240.0,300.0
2740.0,220.0
3040.0,160.0
1260.0,140.0
700.0,160.0
2720.0,200.0
1570.0,250.0
2260.0,220.0
1500.0,230.0
1740.0,210.0
2380.0,150.0
730.0,200.0
110.0,240.0
390.0,300.0
2420.0,170.0
400.0,160.0
870.0,110.0
3010.0,210.0
1010.0,250.0
300.0,170.0
1500.0,170.0
3060.0,80.0
3060.0,120.0
3400.0,120.0
810.0,100.0
2740.0,180.0
2620.0,220.0
13240.0,130.0
1040.0,130.0
1020.0,140.0
nan,nan
nan,110.0
nan,170.0
nan,180.0
nan,340.0
nan,440.0
950.0,370.0
nan,300.0
nan,520.0
nan,320.0
nan,260.0
8060.0,310.0
nan,290.0
nan,150.0
3990.0,150.0
nan,140.0
1360.0,130.0
3580.0,70.0
1040.0,100.0
1000.0,nan
380.0,nan
1680.0,400.0
2930.0,210.0
3920.0,150.0
3080.0,150.0
1080.0,230.0
1180.0,200.0
760.0,150.0
1810.0,190.0
6680.0,180.0
230.0,nan
5130.0,nan
4270.0,110.0
6710.0,240.0
9380.0,240.0
6950.0,nan
6440.0,280.0
9660.0,230.0
8300.0,160.0
8800.0,250.0
38230.0,220.0
6850.0,220.0
11050.0,230.0
nan,250.0
nan,140.0
nan,130.0
nan,590.0
nan,370.0
nan,340.0
nan,100.0
nan,260.0
nan,350.0
nan,430.0
nan,400.0
nan,190.0
900.0,380.0
nan,580.0
nan,360.0
nan,290.0
nan,390.0
nan,300.0
nan,390.0
nan,370.0
nan,430.0
nan,500.0
nan,200.0
nan,420.0
nan,370.0
nan,300.0
1130.0,250.0
7740.0,280.0
4030.0,270.0
1250.0,270.0
9630.0,420.0
6090.0,300.0
4790.0,180.0
10900.0,160.0
37730.0,260.0
10370.0,340.0
7380.0,260.0
5780.0,320.0
9480.0,390.0
6950.0,320.0
5620.0,340.0
11850.0,690.0
8360.0,380.0
nan,510.0
10150.0,460.0
320.0,nan
nan,240.0
nan,240.0
nan,280.0
nan,350.0
nan,270.0
nan,240.0
nan,290.0
nan,350.0
nan,nan
nan,220.0
nan,270.0
27170.0,280.0
3290.0,360.0
1400.0,250.0
1700.0,300.0
1420.0,360.0
2750.0,360.0
1270.0,170.0
2630.0,140.0
1700.0,100.0
3410.0,100.0
2320.0,110.0
1480.0,100.0
5740.0,100.0
7020.0,70.0
6160.0,110.0
5230.0,100.0
12480.0,90.0
5680.0,110.0
9880.0,200.0
10790.0,200.0
12860.0,190.0
140.0,210.0
320.0,260.0
840.0,230.0
nan,420.0
220.0,250.0
2530.0,250.0
1680.0,310.0
390.0,920.0
670.0,520.0
750.0,400.0
1060.0,380.0
750.0,400.0
1160.0,590.0
630.0,400.0
2940.0,300.0
2210.0,390.0
1030.0,340.0
2580.0,420.0
2760.0,280.0
1230.0,370.0
470.0,260.0
2430.0,310.0
1880.0,290.0
340.0,250.0
3480.0,240.0
2030.0,200.0
700.0,240.0
980.0,320.0
7580.0,270.0
4920.0,240.0
4220.0,270.0
2940.0,240.0
7740.0,350.0
2560.0,280.0
4210.0,300.0
3160.0,340.0
23850.0,350.0
nan,330.0
nan,600.0
4100.0,330.0
5880.0,420.0
5640.0,410.0
3610.0,280.0
4950.0,390.0
5850.0,340.0
14800.0,520.0
7570.0,420.0
10130.0,300.0
nan,210.0
nan,180.0
nan,200.0
nan,170.0
nan,290.0
nan,160.0
nan,150.0
nan,180.0
nan,80.0
nan,80.0
nan,100.0
nan,370.0
nan,190.0
nan,160.0
1100.0,110.0
1490.0,80.0
810.0,120.0
300.0,100.0
680.0,260.0
4190.0,280.0
1370.0,560.0
1450.0,370.0
2640.0,290.0
340.0,120.0
3180.0,170.0
4060.0,260.0
2810.0,140.0
4160.0,110.0
1930.0,110.0
3120.0,180.0
2420.0,160.0
3100.0,220.0
1280.0,nan
2940.0,310.0
4550.0,230.0
2610.0,200.0
1990.0,170.0
3880.0,200.0
3180.0,150.0
1760.0,180.0
4590.0,270.0
4130.0,170.0
2690.0,150.0
2690.0,150.0
5160.0,200.0
3370.0,110.0
3290.0,120.0
2110.0,150.0
3170.0,70.0
2530.0,170.0
1930.0,130.0
5940.0,180.0
4840.0,90.0
1320.0,100.0
2690.0,130.0
nan,120.0
nan,60.0
nan,130.0
nan,80.0
nan,70.0
nan,1310.0
nan,80.0
nan,70.0
nan,170.0
nan,90.0
nan,290.0
nan,330.0
nan,210.0
nan,260.0
nan,220.0
nan,300.0
nan,130.0
nan,90.0
1720.0,90.0
1110.0,170.0
520.0,260.0
1160.0,100.0
2960.0,140.0
4250.0,140.0
2120.0,nan
2980.0,140.0
3840.0,400.0
3310.0,270.0
230.0,360.0
3160.0,290.0
2040.0,220.0
2920.0,240.0
450.0,380.0
670.0,270.0
1660.0,310.0
4370.0,310.0
1900.0,300.0
450.0,140.0
1010.0,260.0
3270.0,330.0
1700.0,270.0
1260.0,350.0
520.0,290.0
1740.0,310.0
1740.0,230.0
7670.0,220.0
2780.0,170.0
3400.0,120.0
3140.0,150.0
2340.0,140.0
2260.0,920.0
2370.0,60.0
3620.0,970.0
2680.0,590.0
3410.0,720.0
5130.0,570.0
3300.0,1430.0
5280.0,560.0
6830.0,740.0
7080.0,790.0
7120.0,1040.0
nan,830.0
5870.0,60.0
620.0,1070.0
1990.0,740.0
3060.0,560.0
3400.0,1000.0
4050.0,650.0
4330.0,nan
8600.0,730.0
3120.0,700.0
9480.0,1010.0
nan,610.0
nan,820.0
nan,390.0
nan,630.0
nan,590.0
3620.0,610.0
2290.0,420.0
1750.0,540.0
4150.0,170.0
3630.0,370.0
2960.0,440.0
870.0,490.0
900.0,270.0
2530.0,320.0
800.0,470.0
1950.0,270.0
2840.0,240.0
1300.0,320.0
220.0,410.0
1140.0,250.0
1610.0,310.0
2280.0,210.0
1370.0,nan
860.0,220.0
1800.0,200.0
2460.0,340.0
6370.0,340.0
4360.0,220.0
660.0,210.0
1760.0,260.0
6040.0,240.0
3600.0,270.0
7070.0,180.0
11900.0,160.0
4930.0,260.0
4400.0,230.0
6900.0,290.0
30880.0,210.0
7200.0,120.0
6960.0,100.0
11440.0,190.0
2650.0,150.0
1340.0,100.0
9050.0,100.0
9130.0,100.0
870.0,200.0
1670.0,120.0
7120.0,nan
7470.0,nan
2410.0,340.0
7800.0,240.0
3430.0,250.0
1270.0,290.0
2300.0,420.0
1790.0,300.0
230.0,220.0
950.0,300.0
630.0,200.0
3130.0,230.0
